,labeller,modelAppr,scalingAppr,selectionAppr,precision,recall,f1
91,KMeans_undersampling_3_highestScoreIndex,RFC,MMS,FT,0.36933223413025557,0.9803063457330415,0.5365269461077845
92,KMeans_undersampling_3_highestScoreIndex,RFC,SS,FT,0.29545454545454547,0.824945295404814,0.4350836699365263
93,KMeans_undersampling_3_highestScoreIndex,LSVC,FT,FT,0.39204545454545453,0.9059080962800875,0.5472571050892266
94,KMeans_undersampling_3_highestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
95,KMeans_undersampling_3_highestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
96,KMeans_undersampling_3_highestScoreIndex,MLPC,FT,FT,0.40594059405940597,0.8971553610503282,0.5589638718473074
97,KMeans_undersampling_3_highestScoreIndex,MLPC,MMS,FT,0.37531486146095716,0.9781181619256017,0.5424757281553398
98,KMeans_undersampling_3_highestScoreIndex,MLPC,SS,FT,0.3004694835680751,0.8402625820568927,0.4426512968299712
99,KMeans_undersampling_3_lowestScoreIndex,RFC,FT,FT,0.350207468879668,0.9234135667396062,0.5078219013237064
100,KMeans_undersampling_3_lowestScoreIndex,RFC,MMS,FT,0.3696369636963696,0.9803063457330415,0.5368484122228879
101,KMeans_undersampling_3_lowestScoreIndex,RFC,SS,FT,0.29199372056514916,0.8140043763676149,0.4298093587521664
102,KMeans_undersampling_3_lowestScoreIndex,LSVC,FT,FT,0.4947209653092006,0.7177242888402626,0.5857142857142857
103,KMeans_undersampling_3_lowestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
104,KMeans_undersampling_3_lowestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
105,KMeans_undersampling_3_lowestScoreIndex,MLPC,FT,FT,0.4054878048780488,0.8730853391684902,0.5537820957668287
106,KMeans_undersampling_3_lowestScoreIndex,MLPC,MMS,FT,0.3743718592964824,0.9781181619256017,0.5414900060569352
107,KMeans_undersampling_3_lowestScoreIndex,MLPC,SS,FT,0.30441640378548895,0.8446389496717724,0.447536231884058
