,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
5,MLPClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,MinMaxScaler,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,MinMaxScaler,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,MinMaxScaler,BalancedKFold
1,SGDClassifier,0.03420954511558538,0.028260334645669294,0.029942028985507248,0.9181588809689817,0.01764705882352941,0.03333333333333333,0.023076923076923078,0.9135874877810363,MinMaxScaler,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,MinMaxScaler,BalancedKFold
3,RandomForestClassifier,0.11135275362218397,0.632921267304521,0.1893505021612631,0.6046124635128709,0.10840497545269363,0.6003907663543886,0.1818708719363147,0.6024869185210742,MinMaxScaler,BalancedKFold
4,KNeighborsClassifier,0.0,0.0,0.0,0.9269192745146956,0.0,0.0,0.0,0.9270283479960899,MinMaxScaler,BalancedKFold
5,MLPClassifier,0.018472125396361345,0.14724409448818898,0.031613004810012134,0.816773560539672,0.011459293394777265,0.12222222222222223,0.02090487529765635,0.8089385314243,MinMaxScaler,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,MinMaxScaler,BalancedKFold
0,LogisticRegression,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normalizer,KFold
1,SGDClassifier,0.011383960950763175,0.13668280871670702,0.020486359296666246,0.8319149163668804,0.010893991538911485,0.1330188679245283,0.019447922862599006,0.8296787807082102,Normalizer,KFold
2,RidgeClassifier,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normalizer,KFold
3,RandomForestClassifier,0.06695201123473879,0.5897746124238037,0.12025094353797201,0.5518094576858146,0.06593252100879406,0.5809530629856227,0.1183727496790831,0.5509633473385441,Normalizer,KFold
4,KNeighborsClassifier,0.014380349056713032,0.011007218129468399,0.010181816109574053,0.9419582600201313,0.006716417910447761,0.010465116279069767,0.008181818181818182,0.9409322626023607,Normalizer,KFold
5,MLPClassifier,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normalizer,KFold
6,LinearSVC,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,Normalizer,KFold
0,LogisticRegression,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normalizer,StratifiedKFold
1,SGDClassifier,0.008021390374331552,0.010727056019070322,0.009178990311065782,0.9421939221813946,0.0075,0.00967741935483871,0.008450704225352112,0.9423779357375093,Normalizer,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normalizer,StratifiedKFold
3,RandomForestClassifier,0.06701196379746541,0.5871481562605785,0.12029333964122806,0.5539766564502614,0.06600290161697209,0.5783573552962709,0.1184710132368382,0.5526317685382721,Normalizer,StratifiedKFold
4,KNeighborsClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normalizer,StratifiedKFold
5,MLPClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normalizer,StratifiedKFold
6,LinearSVC,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normalizer,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,Normalizer,BalancedKFold
