,0
DR2TS100,float64
DR2TS120,float64
DR2TS140,float64
DR2TS160,float64
DR2TS180,float64
DR2TM161,float64
DR2TM181,float64
DR2TM201,float64
DR2TM221,float64
DR2TP182,float64
DR2TP183,float64
DR2TP184,float64
DR2TP204,float64
DR2TP205,float64
DR2TP225,float64
DR2TP226,float64
DR2_300,float64
DR2_320Z,float64
DR2_330Z,float64
DR2BWATZ,float64
DR2TWSZ,float64
DS1DSCNT,float64
DS1DS,float64
DS1ANCNT,float64
DS1AN,float64
DS1TKCAL,float64
DS1TPROT,float64
DS1TCARB,float64
DS1TSUGR,float64
DS1TFIBE,float64
DS1TTFAT,float64
DS1TSFAT,float64
DS1TMFAT,float64
DS1TPFAT,float64
DS1TCHOL,float64
DS1TLYCO,float64
DS1TLZ,float64
DS1TVB1,float64
DS1TVB2,float64
DS1TNIAC,float64
DS1TVB6,float64
DS1TVB12,float64
DS1TFA,float64
DS1TFDFE,float64
DS1TCHL,float64
DS1TVC,float64
DS1TVK,float64
DS1TVD,float64
DS1TCALC,float64
DS1TPHOS,float64
DS1TMAGN,float64
DS1TIRON,float64
DS1TZINC,float64
DS1TCOPP,float64
DS1TSODI,float64
DS1TPOTA,float64
DS1TSELE,float64
DS1TCAFF,float64
DS1TIODI,float64
DS2DSCNT,float64
DS2DS,float64
DS2ANCNT,float64
DS2AN,float64
DS2TKCAL,float64
DS2TPROT,float64
DS2TCARB,float64
DS2TSUGR,float64
DS2TFIBE,float64
DS2TTFAT,float64
DS2TSFAT,float64
DS2TMFAT,float64
DS2TPFAT,float64
DS2TCHOL,float64
DS2TLYCO,float64
DS2TLZ,float64
DS2TVB1,float64
DS2TVB2,float64
DS2TNIAC,float64
DS2TVB6,float64
DS2TVB12,float64
DS2TFA,float64
DS2TFDFE,float64
DS2TCHL,float64
DS2TVC,float64
DS2TVK,float64
DS2TVD,float64
DS2TCALC,float64
DS2TPHOS,float64
DS2TMAGN,float64
DS2TIRON,float64
DS2TZINC,float64
DS2TCOPP,float64
DS2TSODI,float64
DS2TPOTA,float64
DS2TSELE,float64
DS2TCAFF,float64
DS2TIODI,float64
DSDCOUNT,float64
DSDANCNT,float64
DSD010,float64
DSD010AN,float64
DSQTKCAL,float64
DSQTPROT,float64
DSQTCARB,float64
DSQTSUGR,float64
DSQTFIBE,float64
DSQTTFAT,float64
DSQTSFAT,float64
DSQTMFAT,float64
DSQTPFAT,float64
DSQTCHOL,float64
DSQTLYCO,float64
DSQTLZ,float64
DSQTVB1,float64
DSQTVB2,float64
DSQTNIAC,float64
DSQTVB6,float64
DSQTFA,float64
DSQTFDFE,float64
DSQTCHL,float64
DSQTVB12,float64
DSQTVC,float64
DSQTVK,float64
DSQTVD,float64
DSQTCALC,float64
DSQTPHOS,float64
DSQTMAGN,float64
DSQTIRON,float64
DSQTZINC,float64
DSQTCOPP,float64
DSQTSODI,float64
DSQTPOTA,float64
DSQTSELE,float64
DSQTCAFF,float64
DSQTIODI,float64
AUAEXSTS,float64
AUAEXCMT,float64
AUQ011,float64
AUQ540,float64
AUQ550,float64
AUQ550A,float64
AUQ550B,float64
AUQ550C,float64
AUQ550D,float64
AUQ550E,float64
AUQ560,float64
AUQ570,float64
AUQ580,float64
AUQ590,float64
AUQ600,float64
AUQ610,float64
AUQ051,float64
AUQ010,float64
AUQ020,float64
AUQ020A,float64
AUQ020B,float64
AUQ020C,float64
AUQ020D,float64
AUQ020E,float64
AUQ031,float64
AUQ041,float64
AUQ520,float64
AUQ530,float64
AUQ050,float64
AUXOTSPL,float64
AUXLOEXC,float64
AUXLOIMC,float64
